tema;subtema
ambiente;INFRAESTRUTURA
ambiente;LICENCIAMENTO AMBIENTAL
ambiente;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
ambiente;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO 
ambiente;OUTROS 
ambiente;POLUIÇÃO ATMOSFÉRICA / EMISSÃO DE GASES ORIUNDOS DE ATIVIDADE ECONÔMICA / INDUSTRIAL
ambiente;POLUIÇÃO ATMOSFÉRICA / OUTRAS EMISSÕES
ambiente;POLUIÇÃO HÍDRICA
ambiente;POLUIÇÃO SONORA / REPRODUÇÃO DE MÚSICA EM ESPAÇO PRIVADO
ambiente;POLUIÇÃO SONORA / REPRODUÇÃO DE MÚSICA EM ESPAÇO PÚBLICO
ambiente;POLUIÇÃO SONORA / RUÍDO DE AGLOMERAÇÃO
ambiente;POLUIÇÃO SONORA / RUÍDO DE ATIVIDADE COMERCIAL / INDUSTRIAL
ambiente;POLUIÇÃO SONORA / RUÍDO DE ATIVIDADE RELIGIOSA
ambiente;POLÍTICA PÚBLICA DE BEM-ESTAR ANIMAL
ambiente;SANEAMENTO / AUSÊNCIA DO SERVIÇO DE ÁGUA POTÁVEL
ambiente;SANEAMENTO / COLETA IRREGULAR DE LIXO
ambiente;SANEAMENTO / DESPEJO IRREGULAR DE LIXO
ambiente;SANEAMENTO / DRENAGEM URBANA DE ÁGUAS PLUVIAIS
ambiente;SANEAMENTO / REDE DE ESGOTAMENTO SANITÁRIO
ambiente;SANEAMENTO / VETORES
ambiente;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
ambiente;SUPRESSÃO DE VEGETAÇÃO / DESMATAMENTO
ambiente;SUPRESSÃO DE VEGETAÇÃO /PODA DE ÁRVORE
cidadania;ACÚMULO DE CARGOS
cidadania;ASSISTÊNCIA SOCIAL
cidadania;ATRASO / FALTA DE PAGAMENTO
cidadania;CONCURSO PÚBLICO - FRAUDE / IRREGULARIDADE
cidadania;CONCURSO PÚBLICO - OUTROS
cidadania;CONCURSO PÚBLICO - PRETERIÇÃO / CLASSIFICAÇÃO
cidadania;CONCURSO PÚBLICO/EDITAL
cidadania;CONDIÇÕES DE EQUIPAMENTO E TRABALHO DA PMERJ
cidadania;CONTRATOS ADMINISTRATIVOS', 'CORONAVÍRUS', 'CORPO DE BOMBEIRO MILITAR', 'CORREÇÃO DE ILEGALIDADE E/OU MELHORIA DA EFICIÊNCIA POLICIAL', 'DIFICULDADE DE ATENDIMENTO', 'ESTABELECIMENTO SEM ALVARÁ DO CORPO DE BOMBEIROS', 'FUNCIONÁRIO FANTASMA', 'GUARDA MUNICIPAL', 'IMPROBIDADE ADMINISTRATIVA', 'LICITAÇÕES', 'MAU ATENDIMENTO EM ÓRGÃO DO MPRJ', MOROSIDADE DE PROCESSO OU PROCEDIMENTO
cidadania;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO 
cidadania;NEPOTISMO
cidadania;OUTROS
cidadania;POLÍCIA CIVIL
cidadania;POLÍCIA MILITAR
cidadania;PORTAL DA TRANSPARÊNCIA
cidadania;SEGURANÇA PÚBLICA
cidadania;SERVIDOR PÚBLICO CIVIL
cidadania;SERVIÇO PÚBLICO DEFICIENTE
cidadania;SERVIÇOS - CONCESSÃO/PERMISSÃO/AUTORIZAÇÃO
cidadania;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
cidadania;VALORIZAÇÃO PROFISSIONAL DO SERVIDOR
civil;CURATELA
civil;DIFICULDADE DE ATENDIMENTO
civil;MAU ATENDIMENTO EM ÓRGÃO DO MPRJ
civil;MOROSIDADE DE PROCESSO OU PROCEDIMENTO
civil;MOROSIDADE OU INDEFERIMENTO DE PROCESSO OU PROCEDIMENTO 
civil;OUTROS
civil;SOLICITAÇÃO DE AGENDAMENTO COM MEMBRO DO MPRJ
